player_name,team_name,pos,games_played,g,a,pts,pims,sog,gwg,ppp,shp,hits,blk
Nikita Kucherov,TB,RW,82,41,87,128,62,246,8,48,0,44,31
Connor McDavid,EDM,C,78,41,75,116,20,240,9,33,2,39,30
Patrick Kane,CHI,RW,81,44,66,110,22,341,7,30,0,21,18
Leon Draisaitl,EDM,C,82,50,55,105,52,231,5,29,3,57,26
Brad Marchand,BOS,LW,79,36,64,100,96,231,9,34,7,46,19
Sidney Crosby,PIT,C,79,35,65,100,36,220,3,29,2,85,43
Nathan MacKinnon,COL,C,82,41,58,99,34,365,6,37,0,54,31
Johnny Gaudreau,CGY,LW,82,36,63,99,24,245,8,27,0,12,12
Steven Stamkos,TB,C,82,45,53,98,37,234,6,40,2,72,40
Aleksander Barkov,FLA,C,82,35,61,96,8,206,5,31,1,28,61
Mitch Marner,TOR,C,82,26,68,94,22,233,5,21,3,29,43
Brayden Point,TB,C,79,41,51,92,28,191,7,35,0,31,43
Jonathan Huberdeau,FLA,LW,82,30,62,92,40,226,5,34,0,57,45
Blake Wheeler,WPG,RW,82,20,71,91,60,231,3,33,3,81,53
Alex Ovechkin,WAS,LW,81,51,38,89,40,338,5,28,0,223,41
John Tavares,TOR,C,82,47,41,88,34,286,8,19,0,59,53
Mikko Rantanen,COL,RW,74,31,56,87,54,193,4,33,0,59,41
Artemi Panarin,NYR,LW,79,28,59,87,23,191,8,18,0,14,17
Claude Giroux,PHI,C,82,22,63,85,24,229,4,23,1,28,19
Mark Scheifele,WPG,C,82,38,46,84,38,199,6,23,3,54,54
Sebastian Aho,CAR,LW,82,30,53,83,26,243,7,24,5,65,34
Brent Burns,SJ,D,82,16,67,83,34,300,6,28,5,90,105
Sean Monahan,CGY,C,78,34,48,82,12,211,5,23,0,36,24
Jack Eichel,BUF,C,77,28,54,82,26,303,2,26,0,70,51
Phil Kessel,ARI,RW,82,27,55,82,28,215,10,36,0,12,18
David Pastrnak,BOS,RW,66,38,43,81,32,235,4,33,0,57,25
Jonathan Toews,CHI,C,82,35,46,81,40,235,5,23,1,42,44
Tyler Seguin,DAL,C,82,33,47,80,18,334,8,27,0,74,47
Patrice Bergeron,BOS,C,65,32,47,79,30,205,3,27,7,43,60
Elias Lindholm,CGY,RW,81,27,51,78,20,182,5,26,4,82,39
Matthew Tkachuk,CGY,LW,80,34,43,77,62,207,2,24,0,104,13
Ryan O'Reilly,STL,C,82,28,49,77,12,234,5,22,3,31,36
Alex DeBrincat,CHI,RW,82,41,35,76,15,220,3,24,0,35,26
Jake Guentzel,PIT,LW,82,40,36,76,26,227,4,11,1,105,47
Sean Couturier,PHI,C,80,33,43,76,34,223,5,17,1,40,60
Teuvo Teravainen,CAR,C,82,21,55,76,12,167,1,24,5,35,23
Gabriel Landeskog,COL,LW,73,34,41,75,51,243,9,27,0,120,64
Tomas Hertl,SJ,LW,77,35,39,74,18,176,5,15,2,53,64
Mika Zibanejad,NYR,C,82,30,44,74,47,236,5,23,2,134,66
Nicklas Backstrom,WAS,C,80,22,52,74,30,169,5,25,0,54,30
Mark Giordano,CGY,D,78,17,57,74,69,221,2,21,6,58,144
Auston Matthews,TOR,C,68,37,36,73,12,251,5,20,0,28,60
Mark Stone,VGK,RW,77,33,40,73,27,199,4,20,1,72,71
Dylan Larkin,DET,C,76,32,41,73,75,287,4,15,3,80,38
David Krejci,BOS,C,81,20,53,73,16,139,4,16,0,28,24
Alexander Radulov,DAL,RW,70,29,43,72,54,209,7,23,0,60,83
Max Domi,MON,C,82,28,44,72,80,203,2,11,0,53,39
Evgeny Kuznetsov,WAS,C,76,21,51,72,50,193,3,23,0,46,20
Evgeni Malkin,PIT,C,68,21,51,72,89,187,5,26,0,54,33
Morgan Rielly,TOR,D,82,20,52,72,14,223,5,21,0,61,114
Mike Hoffman,FLA,LW,82,36,34,70,30,253,6,35,0,42,26
Matt Duchene,NSH,C,73,31,39,70,8,172,1,14,0,28,40
Evgenii Dadonov,FLA,RW,82,28,42,70,8,195,4,17,0,33,42
Logan Couture,SJ,C,81,27,43,70,22,204,3,18,2,65,52
John Carlson,WAS,D,80,13,57,70,34,185,1,33,0,54,164
Cam Atkinson,CLS,RW,80,41,28,69,20,295,8,14,4,27,25
Ryan Nugent-Hopkins,EDM,LW,82,28,41,69,26,208,3,26,3,69,40
Vladimir Tarasenko,STL,RW,76,33,35,68,22,275,5,22,0,88,40
Kyle Connor,WPG,LW,82,34,32,66,18,227,5,19,1,9,21
Timo Meier,SJ,LW,78,30,36,66,55,250,2,10,1,99,40
Elias Pettersson,VAN,C,71,28,38,66,12,144,7,22,0,42,51
Jakub Voracek,PHI,LW,78,20,46,66,25,210,2,18,0,17,29
Sam Reinhart,BUF,C,82,22,43,65,16,180,1,15,0,38,47
Joe Pavelski,DAL,RW,75,38,26,64,22,188,6,21,1,69,61
Ryan Johansen,NSH,C,80,14,50,64,42,136,6,16,2,95,23
Jeff Skinner,BUF,LW,82,40,23,63,36,268,7,16,0,31,24
Mathew Barzal,NYI,C,82,18,44,62,46,179,3,18,0,25,56
Keith Yandle,FLA,D,82,9,53,62,50,199,2,39,0,47,76
Zach Parise,MIN,LW,74,28,33,61,26,229,5,16,2,49,71
Pierre-Luc Dubois,CLS,LW,82,27,34,61,64,174,5,9,0,115,52
Bo Horvat,VAN,C,82,27,34,61,33,227,3,18,3,62,63
Anze Kopitar,LA,C,81,22,38,60,30,156,3,19,2,59,66
Gustav Nyquist,CLS,RW,81,22,38,60,12,204,3,12,0,36,23
Erik Gustafsson,CHI,D,79,17,43,60,34,160,3,18,0,100,115
Jonathan Marchessault,VGK,LW,82,25,34,59,52,278,6,16,0,98,22
Tyson Barrie,TOR,D,78,14,45,59,36,218,2,25,0,48,93
Tomas Tatar,MON,LW,80,25,33,58,34,195,4,8,0,77,30
Dylan Strome,CHI,C,78,20,37,57,20,145,3,16,0,13,46
Evander Kane,SJ,LW,75,30,26,56,153,268,1,11,2,173,25
Ryan Dzingel,CAR,C,78,26,30,56,29,159,5,11,0,54,38
Brock Boeser,VAN,RW,69,26,30,56,22,209,3,15,0,14,22
William Karlsson,VGK,C,82,24,32,56,16,169,5,14,3,51,55
Kevin Labanc,SJ,RW,82,17,39,56,36,130,4,20,0,66,16
Kris Letang,PIT,D,65,16,40,56,48,206,3,19,2,116,111
Josh Bailey,NYI,LW,82,16,40,56,21,126,4,14,1,19,32
Roman Josi,NSH,D,82,15,41,56,42,274,4,12,1,53,144
Kevin Hayes,PHI,C,71,19,36,55,12,156,2,11,3,58,15
Thomas Chabot,OTT,D,70,14,41,55,32,185,2,16,1,71,112
Andreas Athanasiou,DET,C,76,30,24,54,38,216,4,11,0,33,26
T.J. Oshie,WAS,RW,69,25,29,54,36,143,4,14,1,133,55
Brayden Schenn,STL,LW,72,17,37,54,40,159,5,12,0,111,31
Mikael Granlund,NSH,C,79,16,38,54,24,189,5,20,2,46,40
Victor Hedman,TB,D,70,12,42,54,44,182,4,25,1,59,97
Jamie Benn,DAL,C,78,27,26,53,56,189,2,11,0,142,71
Brock Nelson,NYI,C,82,25,28,53,28,181,3,8,1,51,55
Nino Niederreiter,CAR,RW,82,23,30,53,30,184,3,15,0,94,20
Justin Williams,FA,RW,82,23,30,53,44,237,5,14,0,55,32
Reilly Smith,VGK,RW,74,19,34,53,14,178,1,14,4,39,33
Jonathan Drouin,MON,C,81,18,35,53,26,190,3,16,0,55,23
Phillip Danault,MON,C,81,12,41,53,39,132,1,4,2,95,60
Torey Krug,BOS,D,64,6,47,53,33,151,2,30,0,53,60
Brendan Gallagher,MON,RW,82,33,19,52,49,302,4,7,0,126,31
Chris Kreider,NYR,LW,79,28,24,52,57,201,2,12,0,159,49
Eric Staal,MIN,C,81,22,30,52,34,215,6,15,1,41,28
Alex Tuch,VGK,RW,74,20,32,52,8,180,6,6,0,92,40
Anders Lee,NYI,C,82,28,23,51,58,204,5,16,0,103,51
Dustin Brown,LA,RW,72,22,29,51,24,180,3,12,2,150,29
Joe Thornton,SJ,C,73,16,35,51,20,90,4,15,0,17,14
Patrik Laine,WPG,RW,82,30,20,50,42,245,3,23,0,70,44
Filip Forsberg,NSH,RW,64,28,22,50,26,217,4,10,2,100,29
Kyle Palmieri,NJ,RW,74,27,23,50,42,224,2,18,0,98,35
Jacob Trouba,NYR,D,82,8,42,50,58,162,1,18,3,112,171
Travis Konecny,PHI,C,82,24,25,49,40,182,3,8,0,65,45
Carl Soderberg,ARI,C,82,23,26,49,26,188,2,10,3,99,67
Viktor Arvidsson,NSH,LW,58,34,14,48,26,195,7,4,3,18,23
James van Riemsdyk,PHI,LW,66,27,21,48,18,167,4,13,0,34,16
Anthony Mantha,DET,RW,67,25,23,48,30,198,1,13,0,67,23
Yanni Gourde,TB,LW,80,22,26,48,66,130,5,9,2,83,30
Ryan Getzlaf,ANH,C,67,14,34,48,58,133,2,11,0,150,74
Chris Tierney,OTT,C,81,9,39,48,26,116,1,10,0,30,54
Tyler Johnson,TB,C,80,29,18,47,28,163,4,8,1,50,32
Josh Anderson,CLS,RW,82,27,20,47,60,230,5,7,3,214,40
Jakub Vrana,WAS,RW,82,24,23,47,27,161,4,4,0,47,32
Brandon Saad,CHI,LW,80,23,24,47,12,195,3,6,3,52,25
Tyler Bertuzzi,DET,LW,73,21,26,47,36,131,4,6,0,76,39
Mikael Backlund,CGY,C,77,21,26,47,52,205,4,2,2,52,26
Andrew Shaw,CHI,C,63,19,28,47,71,135,3,6,0,128,36
Nico Hischier,NJ,C,69,17,30,47,24,160,3,11,0,53,44
Clayton Keller,ARI,C,82,14,33,47,24,200,5,19,0,16,21
J.T. Miller,VAN,C,75,13,34,47,30,108,4,20,0,115,23
Ryan Suter,MIN,D,82,7,40,47,41,136,2,15,2,78,109
David Perron,STL,RW,57,23,23,46,46,112,1,14,0,52,13
Brett Connolly,FLA,RW,81,22,24,46,24,139,5,2,0,53,25
Travis Zajac,NJ,C,80,19,27,46,20,120,3,12,2,66,38
Jeff Petry,MON,D,82,13,33,46,28,172,4,11,1,190,123
Seth Jones,CLS,D,75,9,37,46,28,184,4,10,3,106,133
Ryan McDonagh,TB,D,82,9,37,46,34,128,1,3,3,98,161
Brady Tkachuk,OTT,LW,71,22,23,45,75,214,3,10,0,174,26
John Klingberg,DAL,D,64,10,35,45,12,153,5,20,0,42,77
Drew Doughty,LA,D,82,8,37,45,44,154,1,24,1,168,120
Erik Karlsson,SJ,D,53,3,42,45,22,169,1,20,0,44,69
Kasperi Kapanen,TOR,RW,78,20,24,44,27,174,3,3,2,92,19
Nazem Kadri,COL,C,73,16,28,44,43,184,5,13,0,85,13
Oliver Ekman-Larsson,ARI,D,81,14,30,44,52,176,2,19,3,162,52
Zach Werenski,CLS,D,82,11,33,44,18,168,1,15,0,67,89
Rasmus Dahlin,BUF,D,82,9,35,44,34,177,4,20,0,97,66
Mattias Ekholm,NSH,D,80,8,36,44,47,146,3,7,2,68,107
Jakob Silfverberg,ANH,RW,73,24,19,43,28,163,4,11,3,38,43
Andreas Johnsson,TOR,LW,73,20,23,43,32,130,3,6,0,60,36
Rickard Rakell,ANH,C,69,18,25,43,27,194,2,13,0,82,38
Jared Spurgeon,MIN,D,82,14,29,43,20,152,0,11,1,91,145
Rasmus Ristolainen,BUF,D,78,5,38,43,38,182,2,17,0,235,121
Jake DeBrusk,BOS,LW,68,27,15,42,18,156,4,11,0,45,24
Jason Zucker,MIN,LW,81,21,21,42,28,214,5,14,0,87,38
Adam Henrique,ANH,C,82,18,24,42,24,122,3,13,1,78,71
Bobby Ryan,OTT,RW,78,15,27,42,35,160,1,16,0,77,49
Alex Kerfoot,TOR,C,78,15,27,42,38,116,1,16,0,22,29
Paul Stastny,VGK,C,50,13,29,42,30,103,2,4,2,35,15
Cody Eakin,VGK,C,78,22,19,41,16,120,3,4,3,88,35
Zach Hyman,TOR,RW,71,21,20,41,65,144,4,0,1,102,39
Alex Galchenyuk,PIT,RW,72,19,22,41,34,159,4,21,0,62,34
Bryan Little,WPG,C,82,15,26,41,26,126,5,7,2,62,29
Colin White,OTT,C,71,14,27,41,24,123,2,8,0,23,35
Alex Pietrangelo,STL,D,71,13,28,41,22,168,2,15,1,62,139
Darnell Nurse,EDM,D,82,10,31,41,87,196,1,9,1,162,146
Ryan Ellis,NSH,D,82,7,34,41,20,149,2,5,1,71,154
Max Pacioretty,VGK,LW,66,22,18,40,36,191,5,8,0,119,20
Tom Wilson,WAS,RW,63,22,18,40,128,130,2,5,2,200,52
Alex Killorn,TB,C,82,18,22,40,45,153,2,5,2,88,23
Micheal Ferland,VAN,LW,71,17,23,40,58,156,3,13,0,182,19
Mats Zuccarello,MIN,RW,48,12,28,40,24,104,1,15,0,57,43
Duncan Keith,CHI,D,82,6,34,40,70,141,1,3,1,42,144
Frank Vatrano,FLA,LW,81,24,15,39,38,208,1,8,0,139,74
Anthony Cirelli,TB,C,82,19,20,39,34,123,5,1,6,94,49
Dougie Hamilton,CAR,D,82,18,21,39,54,259,2,7,0,160,91
Vinnie Hinostroza,ARI,C,72,16,23,39,14,152,3,5,0,69,41
Kevin Fiala,MIN,LW,83,13,26,39,36,174,2,11,0,42,20
Damon Severson,NJ,D,82,11,28,39,58,146,0,12,1,83,87
Alex Chiasson,EDM,RW,73,22,16,38,32,123,1,15,2,85,31
Pavel Buchnevich,NYR,LW,64,21,17,38,13,119,1,12,0,60,20
Craig Smith,NSH,RW,76,21,17,38,20,205,2,8,0,77,33
Boone Jenner,CLS,LW,77,16,22,38,42,170,3,3,1,158,70
Tyler Bozak,STL,C,72,13,25,38,20,141,3,8,0,52,33
Derek Ryan,CGY,C,81,13,25,38,24,103,1,7,4,19,19
Nikolaj Ehlers,WPG,LW,62,21,16,37,15,158,4,7,0,27,16
Andrei Svechnikov,CAR,RW,82,20,17,37,62,189,3,5,0,123,26
Jordan Eberle,NYI,RW,78,19,18,37,17,160,5,12,0,36,35
Patric Hornqvist,PIT,RW,69,18,19,37,26,197,2,12,0,150,34
Patrick Marleau,SJ,LW,82,16,21,37,28,161,3,10,0,74,41
Artem Anisimov,OTT,C,78,15,22,37,14,142,1,4,1,25,33
Joonas Donskoi,COL,RW,80,14,23,37,10,115,4,3,0,36,36
Aaron Ekblad,FLA,D,82,13,24,37,47,180,1,10,0,114,88
Dominik Kahun,PIT,C,82,13,24,37,6,137,2,2,0,13,27
Shea Theodore,VGK,D,79,12,25,37,20,202,1,9,1,27,91
Taylor Hall,NJ,LW,33,11,26,37,16,113,3,12,0,22,29
Ryan Pulock,NYI,D,82,9,28,37,22,180,3,9,0,143,148
Shayne Gostisbehere,PHI,D,78,9,28,37,22,180,2,14,0,46,102
Jake Muzzin,TOR,D,80,9,28,37,47,141,1,5,1,172,134
Oliver Bjorkstrand,CLS,RW,77,23,13,36,8,161,1,3,0,43,34
Blake Coleman,NJ,C,78,22,14,36,71,213,3,3,5,225,44
Thomas Vanek,FA,LW,64,16,20,36,26,108,1,11,0,38,13
Lars Eller,WAS,C,81,13,23,36,37,163,1,3,3,69,47
Jaden Schwartz,STL,LW,69,11,25,36,16,183,1,5,0,61,27
Jared McCann,PIT,C,78,19,16,35,31,150,2,3,4,77,51
Ryan Strome,NYR,C,81,19,16,35,64,110,2,7,0,76,36
Bryan Rust,PIT,RW,72,18,17,35,24,141,4,0,4,119,59
Jimmy Vesey,BUF,LW,81,17,18,35,21,154,4,4,0,79,34
Nick Bonino,NSH,C,81,17,18,35,18,118,1,3,1,24,70
Nick Foligno,CLS,LW,73,17,18,35,44,141,2,4,0,175,51
Derek Stepan,ARI,C,72,15,20,35,14,195,3,3,3,50,51
Vince Dunn,STL,D,78,12,23,35,45,150,4,8,0,48,68
Justin Faulk,STL,D,82,11,24,35,47,217,3,10,0,156,121
Frans Nielsen,DET,C,72,10,25,35,14,120,4,8,1,79,44
Travis Sanheim,PHI,D,82,9,26,35,22,121,2,5,0,45,133
Brandon Montour,BUF,D,82,8,27,35,56,181,2,6,0,99,121
Mikkel Boedker,OTT,LW,71,7,28,35,6,88,1,7,0,54,28
Michael Frolik,CGY,LW,65,16,18,34,26,132,4,0,2,57,22
Ilya Kovalchuk,LA,RW,64,16,18,34,10,141,1,9,0,28,19
Conor Sheary,BUF,LW,78,14,20,34,12,147,3,6,0,29,29
Tyler Toffoli,LA,RW,82,13,21,34,23,226,3,5,0,39,23
Charlie Coyle,BOS,C,81,12,22,34,20,155,2,4,1,77,56
Danton Heinen,BOS,C,77,11,23,34,16,114,2,7,0,54,36
Jesperi Kotkaniemi,MON,C,79,11,23,34,26,134,2,5,0,66,41
Alexander Edler,VAN,D,56,10,24,34,54,128,2,17,1,127,166
Vincent Trocheck,FLA,C,55,10,24,34,54,158,1,13,1,112,42
T.J. Brodie,CGY,D,79,9,25,34,24,102,1,4,1,21,86
Ondrej Palat,TB,LW,64,8,26,34,20,100,1,8,0,104,34
Casey Cizikas,NYI,C,73,20,13,33,36,111,3,0,3,129,68
Anthony Duclair,OTT,LW,74,19,14,33,14,132,3,8,0,32,33
Oskar Lindblom,PHI,LW,81,17,16,33,20,162,2,3,0,68,52
Alex Iafallo,LA,C,82,15,18,33,22,148,2,6,0,87,54
Shea Weber,MON,D,58,14,19,33,28,166,3,6,0,129,110
Richard Panik,WAS,RW,75,14,19,33,44,140,2,2,1,137,52
Jeff Carter,LA,C,76,13,20,33,42,174,1,13,2,80,30
Miro Heiskanen,DAL,D,82,12,21,33,16,182,4,8,1,34,71
Robert Thomas,STL,C,70,9,24,33,14,80,0,7,0,13,22
Jesper Bratt,NJ,LW,51,8,25,33,6,91,1,8,0,36,22
Noah Hanifin,CGY,D,80,5,28,33,12,116,2,5,2,87,83
J.T. Compher,COL,C,66,16,16,32,31,118,3,9,3,33,59
Mark Jankowski,CGY,C,79,14,18,32,12,99,1,0,8,30,56
Scott Laughton,PHI,C,82,12,20,32,53,130,1,0,2,146,46
Esa Lindell,DAL,D,82,11,21,32,33,132,1,7,2,143,161
Mikhail Sergachev,TB,D,75,6,26,32,28,128,0,6,0,97,93
Valtteri Filppula,DET,C,72,17,14,31,16,78,4,0,1,12,34
Jason Pominville,FA,RW,73,16,15,31,4,134,3,2,0,18,20
Paul Byron,MON,C,56,15,16,31,17,94,3,1,3,114,36
Oskar Sundqvist,STL,C,74,14,17,31,22,113,2,1,2,101,31
Nolan Patrick,PHI,C,72,13,18,31,27,115,3,2,0,72,26
Artturi Lehkonen,MON,LW,82,11,20,31,32,176,4,0,0,120,39
Vladislav Namestnikov,OTT,C,78,11,20,31,44,119,3,3,5,140,62
Antoine Roussel,VAN,LW,65,9,22,31,118,84,1,0,0,87,50
Nick Ritchie,ANH,LW,60,9,22,31,82,96,2,9,0,123,31
Tyler Myers,VAN,D,80,9,22,31,63,156,3,7,2,97,99
P.K. Subban,NJ,D,63,9,22,31,60,168,1,10,1,56,75
Jaccob Slavin,CAR,D,82,8,23,31,18,146,1,7,2,70,133
Josh Morrissey,WPG,D,59,6,25,31,14,95,2,10,2,55,107
Dustin Byfuglien,WPG,D,42,4,27,31,69,115,1,16,0,77,51
Marcus Sorensen,SJ,RW,80,17,13,30,23,100,1,0,2,88,29
Wayne Simmonds,NJ,RW,79,17,13,30,99,157,2,8,0,137,28
Radek Faksa,DAL,C,81,15,15,30,54,114,1,3,2,103,65
Colton Sissons,NSH,RW,75,15,15,30,23,111,3,2,1,109,52
Mathieu Perreault,WPG,C,82,15,15,30,44,95,3,7,0,127,25
Marcus Johansson,BUF,LW,58,13,17,30,8,115,1,9,0,28,24
Nate Schmidt,VGK,D,61,9,21,30,8,112,1,8,0,37,100
Will Butcher,NJ,D,78,4,26,30,18,108,1,14,0,38,74
Anthony DeAngelo,NYR,D,61,4,26,30,77,111,0,10,0,54,82
Jake Gardiner,CAR,D,62,3,27,30,26,78,0,5,0,61,64
Brandon Tanev,PIT,LW,80,14,15,29,41,127,0,0,3,278,81
Kyle Okposo,BUF,RW,78,14,15,29,41,147,2,11,0,87,27
Loui Eriksson,VAN,RW,81,11,18,29,22,107,2,3,0,3,28
Devin Shore,ANH,C,76,10,19,29,13,82,4,5,2,94,64
Evan Rodrigues,BUF,C,74,9,20,29,25,168,1,4,3,33,33
Mikko Koivu,MIN,C,48,8,21,29,22,89,0,12,1,13,32
Connor Brown,OTT,RW,82,8,21,29,16,85,0,1,3,35,37
Brett Pesce,CAR,D,73,7,22,29,24,98,2,0,2,53,131
Colin Miller,BUF,D,65,3,26,29,44,131,0,13,0,122,64
Dmitry Orlov,WAS,D,82,3,26,29,33,101,0,1,0,137,103
Ryan Murray,CLS,D,56,1,28,29,10,71,0,1,0,27,93
Anthony Beauvillier,NYI,LW,81,18,10,28,8,156,4,2,0,87,35
Adrian Kempe,LA,C,81,12,16,28,50,118,2,4,0,86,21
